Prefix	Stem	Tone	POS	Class	Gloss
i	thunya	HH	n	7	flower
	thusa	HH	v		help; assist
i	thusi	LL	n	7	small black beetle that bores dry wood or poles
	thuta	LL	v		smoke a pipe or cigarette
	tHutHugwa	LHL	n	10	fruit of a belladonna plant
	thutidza	LLL	v		blow air to induce a flame in a fire
n	thuto	LL	n	3	flame
	thuwa	HL	v		rear, as of livestock
i	thuwa	HH	n	7	pinnacle; the top of a hut or house
	tHuzi	HL	n	9/10	fly
	thwa	H	v		spit out; vomit
mi	ti	H	n	4	drugs; trees
	ti	L	v		say
n	ti	H	n	3	tree
n	tiakoni	HHLL	n	1/2	deacon, as in a church
	tibelelo	HHLL	n	9	whole night gathering for prayers prior to a funeral
i	tibili	HHH	n	7	pedal, as of a bike
	tichara	HHH	n	1	teacher
	tikiti	LHL	n	9	ticket
i	tiko	HL	n	7	occiput; back of the head
	tilika	HHL	v		hang or place above
	tiliyana	HLHL	v		be on top of another
	tiliyanya	HLHL	v		put on top of another
i	tiraiki	LHHL	n	7	strike
	tirekitara	LHHLH	n	9	tractor
	tirina	LHL	n	9/10	train
	titha	HL	n	9	torchwood
	tizha	HL	v		to run away from something
	tizhilila	HLHL	v		go after, with intention of catching up with someone
bu	tizhilo	HHL	n	14	refuge
	tizhisa	HHL	v		cause to run or flee; have diarrhoea
mi	to	L	n	4	types of gravy or soups
n	to	L	n	3	gravy; soup
	toba	LL	v		massage
	toboka	HHL	v		loose hope on something
	tobokana	HHHL	v		loose trust on each other
n	toboki	HHL	n	1	dispairer; a pessimist
	tobosa	HHL	v		explain on absence of something; deny
n	tochi	LH	n	3	swelling in the armpit or groin 
	todza	HL	v		take after or resemble another
i	tofu	HL	n	7	 stove
	toga	HL	pron.		we alone
	togwa	HL	v		be taken; be married
n	togwe	HL	n	3	snot-apple tree; Azanza garekeana
	tokonyola	HHHL	v		shred, as grains of maize from a cob
	tola	HL	v		take
i	tole	LL	n	7	small child or  a toddler
	tolela	HHL	v		take for; take by force; seize
n	tolo	HL	n	3	burden; load
	toloka	HHL	v		interpret
	tolokegwa	HHHL	v		be interpreted for
	tolokela	HHHL	v		interpret for
n	toloki	HHL	n	1	interpreter
	toloko	LHL	n	9	abell
i	tombgana	LHH	n	7	 small hill
li	tombo	LH	n	11	flat rock
	tombola	LLL	v		extract thorn from flesh using a safety pin
	tomu	HL	n	10	reins
	tongo	HH	aux. v		denotes an act that would take place or had already taken place
n	topi	LH	n	3	shepherd tree, Boscia albitrunca
	topola	HHL	v		to pick very little using two fingers
	toroko	LHL	n	5	railway truck
	toronko	LHL	n	9	prison
	toropo	LHL	n	9	town or city
i	toropo	LHL	n	7	thong or halter that passes between two yoke pins
	tose	HL	adv.		together; all of us
	tose	HL	enum.		all of us
	tota	HL	v		mend or seal a hole using some beeswax
bu	totHo	HH	n	14	coldness; very low temperature
	totHodza	HHL	v		make cold
i	toyi	LH	n	7	thing in the eye; an impurity in food
	tsatula	HHL	v		crush something soft or alive as an insect between two  objects
	tsetse	HL	n	5	flea; tsetse fly
n	tsha	L	n	3	sharpened metal or wooden instrument used for digging
chi	tsha	H	n	8	stump of a tree
	tsha	H	v		dig
chi	tsha	L	n	7	site for a house or a field
	tshamba	LL	v		tramp, or tread; step on something
	tshambilidza	LLLL	v		oppress; emphasize; press down, as a pen when writing; pin down to the ground
	tshambisa	LLL	v		cause to step on something
	tshambo	LL	n	5	paw
mi	tshambo	LL	n	4	ways of walking
	tshambuka	LLL	v		take one's foot off something; stop trampling on something
	tshatsharika	LLLL	v		walk unsteadily on weak legs, as when drunk
	tshe	L	interj.		shift a little
	tsheduka	HHL	v		shift to one side
	tshedula	HHL	v		shift a little, as of something heavy
	tshepe	HL	n	9/10	springboks
	tshetha	LH	adj.		yellow
	tshetshe	LL	n	5	bull frog
n	tshi	H	n	1	digger
	tshibama	LLL	v		to give birth, as of a person
n	tshibamisi	LLLL	n	1	midwife
n	tshibha	HL	n	3	neck
	tshibika	LLL	v		turn a pot or any container upside down
	tshila	HL	v		dig for; bury
	tshima	HL	n	5	well
	tshimuta	HHL	v		sneeze
	tshinda	HH	v		gasp or struggle, as a dying thing
	tshindika	HHL	v		to push one forcefully
	tshindinuka	HHHL	v		come off, as the floor of a hut
	tshindinula	HHHL	v		exhume; reveal what was concealed, especially in the ground
	tsHinga	HH	n	10	veins or arteries
lu	tshinga	HH	n	11	blood relative
n	tshingitshi	HHL	n	3	type of tree
	tshipi	HH	n	10	week; metal
	tshipi	HH	n	9	Sunday;  church
i	tshitshino	HHL	n	7	heel of one's foot or shoe
	tshonyonga	HHL	v		to irritate
	tshoo	HL	interj.		introduces a request
	tshotshoma	LLL	v		be active; hyperactive
	tshu	L	adj.		black ox or bull
	tshugwa	HH	v		be wiped
	tshula	HH	v		wipe
	tshulisa	HHL	v		cause to wipe
	tshulo	HL	n	9	fat round gut; omentum
	tshung'ayidza	LLLL	v		cause to be sleepy or drowsy
	tshung'ayila	LLLL	v		feel sleepy; feel drowsy 
	tshunyana	LHL	adj.		a black cow
i	tshururu	LLL	n	7	untalented person
	tshwa	H	adj.		new
	tshwa	H	v		burn
	tshwaisa	LLL	v		cause to brand; brand for and give 
i	tshwantsho	HL	n	7	picture; image
	tshwaya	LL	v		mark, as when branding livestock
	tshwayila	HHL	v		sweep
mi	tshwayo	LL	n	4	small bells worn on ankles during dances
lu	tshwayo	LL	n	11	mark, as of cattle
	tsika	LL	v		squint, as of an eye
n	tsina	LH	n	3	thin fermented porridge
	tsita	HH	v		fasten a napkin or diaper on a baby
n	tsito	HH	n	3	baby's napkin; loin skin
	tswapula	HHL	v		spoil, as of taste
i	tswiriri	HHH	n	7	talented person
	tswiyi	LH	n	9	sunbird
chi	tu	H	n	7	silence; quietness
	tubatuba	HHHL	v		move up and down; come several time to a place within a short space of time
	tubula	HHL	v		manage
n	tugwi	LH	n	3	juice from a watermelon
	tuka	HH	v		insult; look at one's private parts; scold
	tukana	HHL	v		quarrel, scold or threaten each other
	tukisa	HHL	v		cause one to be scolded or insulted
	tukununu	HHHH	adj.		small; tiny
ma	tukuta	LLL	n	6	lots of sweat, as by more than one person
	tukutidza	LLLL	v		cause to perspire or sweat
	tukutila	LLLL	v		perspire or sweat
	tukwana	HHH	n	9	handkerchief
	tukwi	HL	n	9	head scarf; a head dress; a head band
	tula	HL	v		take a load off your head
	tulugwa	HHL	v		be taken down
	tulula	HHL	v		take down
	tuma	HH	v		send
	tumba	HH	v		crouch; squat, sit on the haunches
ma	tumba	HH	n	6	drums
n	tumbu	LL	n	3	belly; stomach
n	tumbu	LH	n	3	corpse
	tumila	HHL	v		send; mail
	tumilila	HHHL	v		send to or for
	tuna	HH	v		take an oath; abstain, as of a taboo
	tunda	LL	v		urinate; pass water
	tundila	LLL	v		urinate onto something
n	tundo	LL	n	3	urine
i	tundu	HH	n	7	type of basket used during harvesting time
	tundubadza	LLLL	v		cause to calm down; cause a pain to subside for a while
	tundubala	LLLL	v		quieten down or subside for a while, as of pain
n	tung'wa	HL	n	1	messenger
	tungamidza	HHHL	v		make a leader
	tungamila	HHHL	v		lead; go before one; precede a person
n	tungamili	HHHL	n	1	leader or guide
lu	tungo	HL	n	11	rafter
n	tungulu	LLL	n	3	type of tree
ma	tungutungu	LLLL	n	6	blisters, as from fire burns
n	tupo	HL	n	3	totem
	tura	HH	adj.		be expensive
	tuta	HH	v		remove or carry away in loads
	tutHumadza	HLHL	v		elevate; heap up
	tutHumala	HLHL	v		be elevated
	tutsHa	LL	v		make to urinate, as with a baby
n	tutshi	HL	n	3	shadow; umbrella
ma	tutu	HL	n	6	whirlwinds; cyclones
i	tutujani	HHHL	n	7	corn cricket
	tutuma	LLL	v		boil up or over, as of milk
	tutumisa	LLLL	v		cause to boil, as of milk
	tyajana	LLH	n	7	small shawl
	tyali	HL	n	7	shawl; rug blanket
ma	tyila	HH	n	6	cloths
lu	tytya	L	n	11	flank; side of the body
	uma	LL	v		threaten with some object; threaten
chi	unga	LL	n	7	species of ceropegia, tuber eaten raw or roasted, nearly extinct
	vakacha	LLL	v		visit
	vala	LL	v		dress-up
	vanga	HH	v		knead or mix as of dough or some food
n	vavani	LHL	n	3	Lippisa jaranica; the leaves are infused and used as a drink for fevers, also used as wild tea; wild mint
	veisi	LHH	n	9	fist
ma	vele	LL	n	6	overgrown hair
	vi	H	n	5	grey hair
bu	viilo	LLH	n	14	place for flaying; a surgical or operating theatre
	vika	LL	v		avoid blows; ward off
	vima	HL	v		hunt
n	vimi	HL	n	1	hunter
	vinga	LH	n	5	lump of clay
	viya	LL	v		to skin an animal
n	vo	H	n	3	first milk after calving; colostrum
	vokomola	LLLL	v		grab a handful greedily
	vondomoka	LHHL	v		rise up instantly or sit up instantly
	voneka	LLL	v		provide light
li	voni	LL	n	11/6	lamp
	vu	H	n	5	soil
	vubela	LHL	v		put in some yeast so that beer can ferment
	vubu	LH	n	9	hippopotamus
	vudzi	LL	n	5	single strand of hair
	vukidza	LLL	v		fill-up a pool or hollow with earth
	vukidzika	LLLL	v		has become filled up with mud, as a well with mud; be silted up
	vukula	LLL	v		to remove mud or sand out the ground with one's hands or using a shovel, this normally happens when digging a well
	vula	HL	n	9	water; rain
chi	vula-magwe	LHHL	n	7	hailstorm; hail
	vululata	LHHL	v		close one's eyes
	vululatunuka	LHHHHL	v		to open one's eyes
	vumba	LL	n	9	eland; gnu
	vumbika	LLL	v		put underneath some soil
	vuna	HL	v		break or snap off a stick or branch
	vunanya	LHL	v		break into many pieces
	vunika	LHL	v		have a broken bone; be broken
	vuva	LL	v		become mouldy or mildewed
	wa	L	v		fall
	wachi	HL	n	9	watch; clock
	wairi	HHL	n	9	wire
	wala	LL	v		spread out a blanket or cloth on the ground; or to make bedding ready for use.
	walila	LLL	v		arrange a bundle of sticks ready for tying up; cushion the ground before spreading the blankets
	walula	LLL	v		make a bed; to rearrange bedding after use
	wanana	LHL	v		get on well; have an understanding
	wanda	LL	v		increase; become many; multiply; get to the end as of cattle being watered
	waneitiko	LHHHL	v		lie on one's back
	wanika	HHL	v		spread out to dry or air.
	wanika	LLL	v		to be found
	waya	LL	v		scatter or throw about as of seeds or sand
	wayilesi	HHLL	n	9	radio
	wedu	HL	pron.		ours
	wenyu	HL	pron.		yours (pl)
	widza	LL	v		to finish
	wiki	HL	n	9	wig
	wila-zwilopa	LLLLL	v		be calm; down to earth attitude; speak in low tones
chi	wilo	LL	n	7	chance
	woba	LL	v		bow down as of a tree branch
	wobeka	LLL	v		be bowed over
	wola	LL	v		remove excrete; remove some trash
	wolela	LLL	v		fill, or load; gather to, or into; put into a sack
	wolobela	HHHL	v		become accustomed to; get used to
	wolota	HHL	v		dream; day-dream
n	woloti	HHL	n	1	dreamer
	woma	HL	v		dry
	wonda	HH	v		become thin or lean
	woneka	LLL	v		bid farewell
	wonga	LL	v		nurse
	wotsHa	HH	v		cause to be thin or loose weight
	wubama	LLL	v		become bent forward, as of a person or a tree
chi	wulu	LL	n	7	large antheap
	wuluka	LLL	v		fly
	wulusa	LLL	v		winnow; remove chaff from harvested grain; cause to fly
	wunga	HL	v		flow
n	wunga	LL	n	3	type of tree
	wupula	LLL	v		snatch; to remove quickly with an open hand
	xalasi	LHL	n	9	drinking glass
	xarawu	HHL	n	5	spade; shovel
	xaxamadza	HHHL	v		tighten, stretch to make tight
	xaya	HH	v		rub soles of feet with a stone to get rid of the cracks
	xola	LL	v		draw a salary or some form of reward for work done
	xotha	HH	v		clean by rubbing with sand; scrub; scold
i	xwabha	LH	n 	7 	dried meat; biltong
i	xweto	LL	n	7	loop in a rope
	yapo	HL	adv.		present; there
	yeela	HLH	interj.		hey; hey there; ho
	yeno	HL	adv.		over there
	zana	LL	v		dance; play
	zanga	LH	n	5	oaf
lu	zangwi	LH	n	11	type of weed of the creeper family
n	zani	LL	n	1	player or a sportsman or woman; a dancer
n	zano	LL	n	3	type of dance; a game
	zebe	LH	n	9/10	ears
	zeeza	LLL	v		hesitate
n	zekulu	LHL	n	1/2	nephew or niece
	zengwe	LL	n	9	millet
	zeu	LL	n	5	molar tooth
	zeula	LLL	v		chewing of animals late at night
n	zeze	LL	n	3	type of tree
	zha	L	v		come
	zhadza	HL	v		fill-up
	zhaivi	LHL	n	5	chameleon
	zhala	HL	v		full; in abundance
	zhala	LL	n	9	hunger; famine
chi	zhala-nlota	LLLL	n	7	midden; heap of waste
chi	zhalanlota	LLLL	n	7	rubbish dumps or heaps; midden
	zhalila	LLL	v		close; shut
	zhalilana	LHHL	v		be angry; be troubled or in distress
	zhalima	LHL	n	5	darkness
	zhamu	HH	n	5	human or animal breast
ma	zhana	LH	n	6	part of the bee produce
	zhani	HL	n	5	leaf; teabag
ku	zhe	H	n	17	outside
	zheko	HL	n	6	small four-corner closure of a granary
chi	zhema	LH	n	7	fool; idiot
chi	zhi	L	n	7	a foreigner; a stranger
	zhibikiti	LLLL	interj.		fall of a huge and heavy thing
	zhino	HL	n	5	tooth
	zhisa	LL	v		bring
	zhisho	HL	n	5	eye
	zhizha	LH	n	5	time of the first ripe fruits; season preceding harvesting time
	zhoba	LH	n	9	noise
	zhodza	LL	v		apply lotion onto another's body, as a child
ma	zhokoedza	LLHL	n	6	early morning when darkness starts clearing
	zhola	LL	v		apply lotion onto one's body
chi	zholo	LL	n	7	ointment; a body lotion or cream
	zhongololo	LHLL	n	5	millipede
	zhou	LL	n	9/10	elephant
	zhowana	LLH	n	9	elephant calf
	zhuba	HL	n	5	sun; day
	zhuka	LL	v		become open
	zhula	LL	v		to open
	zhula	LH	n	5	frog
	zhulo	LL	adv.		the day before yesterday
	zhulo-lija	LLHL	adv.		few days ago
	zhunga	LL	v		to remove thin grain from the much coarse one
n	zhuzha	LL	n	1	young man
nji	zi	H	n	10	rivers
n	zi	L	n	3	home; dwelling place
	ziba	HL	v		know
n	zibi	HH	n	1	skilled person; knowledgeable person
	zibisa	LHL	v		notify; inform
lu	zibo	HL	n	11	knowledge
	zigwa	HL	v		be known
	zijana	LLH	n	9	foot path; bicycle path; a small road
	zila	LL	n	9/10	roads
n	zila	LL	n	3	line
	zilawa	LHL	n	9	kudu
	zina	HH	n	5	name
	zipa	LL	v		sweet
	zipi	HL	n	9	zip
	zipisa	LLL	v		sweeten
n	zipo	LL	n	3	sweetness, as of honey or sugar
	zogwadza	LHL	n	8	anguish
	zojiwa	LLL	n	8	food
	zomola	LLL	v		pinch hard
n	zonyo	LH	n	3	bull's penis, also of any male animal
	zuka	LH	n	7	sixpence coin, equivalent to five cents
	zumbunuka	LLLL	v		reveal; be in view
	zunguza	LLL	v		shake   
	zunguzika	LLLL	v		shake as of a tree, flag or of a loose tooth
	zununula	LLLL	v		uncork; unplug; remove a lid of a bottle
	zutula	LLL	v		glare; look hard at something 
	zutula	LLL	v		look hard with eyeballs pushed out
	zutulila	LLLL	v		look hard or fix the eyes at
	zuwa	LL	v		chat; be engaged in a friendly  conversation
	zwabo	HL	pron.		theirs
n	zwadzi	HL	n	1	parent
	zwala	HL	v		give birth
	zwalana	LHL	v		be related
bu	zwalani	LHL	n	14	friendship; intimate friendship
n	zwalani	LHL	n	1	friend
bu	zwele	LL	n	14	confinement, a lying in after giving birth; sitting on eggs of a hen to hatch them
n	zwele	HL	n	1	woman in confinement after giving birth
bu	zwi	H	n	14	honey; syrup
n	zwi	H	n	3	syrup; honey
	zwi	L	ideo.		darken, as in the evening or before rainfall
	zwiambadza	LHLH	v		dress oneself; be self supporting
	zwiambula	LHLH	v		undress oneself
	zwibaakanya	LHLLH	v		prepare oneself; get ready
	zwibhatilila	HLLLH	v		hold onto; be well off
ma	zwibhato	HLL	n	6	manners; the manner of doing something
	zwibigila	HHLH	v		put away for oneself for later use
	zwiboka	LHL	v		praise oneself
	zwibulaya	LHLH	v		kill oneself; commit suicide
	zwibuyanana	LLLHH	adv.		very well; nicely
ba	zwichabachaba	LHHLL	n	2	foreigners; people from other countries
	zwichengedza	LHLH	v		deceive oneself; has had a wrong notion about oneself
	zwida	HL	v		selfish; conceited; be tidy and smart in appearance
	zwidwa	LL	v		say to oneself; insult oneself, said in response to what you'd said
n	zwigwa	HL	n	3/4	vangueria infauta tree
	zwigwa	HL	n	9/10	fruits from the vangueria infauta tree
	zwiisa-pasi	LHLLH	v		make oneself small, hence humble oneself; belittle oneself
	zwijisa	HLL	v		feed oneself; support oneself
	zwikama	LHL	v		comb one's hair
	zwikera	LHL	v		cut one's hair
	zwikolola	LHLH	v		stretch out oneself, as the hand or arms
	zwikumbula	LHLH	v		serious self-examination; introspection
	zwilandula	LHLH	v		deny being at fault; plead innocent
	zwilapa	LHL	v		treat oneself
	zwilebelekela	LHLLLH	v		defend oneself in a dispute or a court case
	zwilika	LHL	v		do one's best; push during child birth
	zwilinga	LHL	v		look at oneself, as in a mirror
	zwilizanila	LHLLH	v		be fit
	zwilobesa-phepo	LHLHLL	v		take a stroll; go on a holiday; go out for some fresh air
	zwimba	HH	v		swell 
	zwimba	LL	n  	5	hide on the ground, as of rabbits 
chi	zwimbila	LHH	n	7	swelling easily, of someone
	zwimbila	LHL	v		constipate
	zwimbisa	LHL	v		cause to swell
	zwimbunula	LLLL	v		uncover; unveil
	zwimisa	LHL	v		intend to; to be determined to; will or resolve to
	zwimisidzila	LHLLH	v		take responsibility
	zwina	LL	v		mend or seal a hole using an adhesive, as of a puncture; close the lid of a container or bottle
	zwing'anga	LHL	v		scratch oneself
chi	zwino	LL	n	7	lid or stopper
	zwisenga	LHL	v		be pregnant
	zwisengesa	LHLH	v		impregnant a woman
	zwisunga	LHL	v		incriminate oneself
	zwisungilila	LHLLH	v		hang oneself; commit suicide
	zwitshula	LHL	v		clean oneself; dry oneself; wipe one's tears
	zwiwa	HL	v		feeling okay; hear oneself
ma	zwiwo	HL	n	6	feelings; sensations
	zwiya	LL	v		crush between two objects
	zwizhisa	HLL	v		bring oneself; come unescorted and not coerced
